cell,variant,pin,power,cap
ADDF,XL,A,1044,20
ADDF,XL,B,1668,20
ADDF,XL,CI,557,62
ADDF,X1,A,1083,70
ADDF,X1,B,1378,67
ADDF,X1,CI,580,61
ADDF,X2,A,1290,70
ADDF,X2,B,1771,67
ADDF,X2,CI,826,61
ADDF,X4,A,1978,70
ADDF,X4,B,2502,67
ADDF,X4,CI,1559,61
ADDFH,XL,A,1006,39
ADDFH,XL,B,889,79
ADDFH,XL,CI,574,21
ADDFH,X1,A,1259,61
ADDFH,X1,B,1151,138
ADDFH,X1,CI,673,41
ADDFH,X2,A,2494,116
ADDFH,X2,B,2144,260
ADDFH,X2,CI,1162,80
ADDFH,X4,A,2886,116
ADDFH,X4,B,2538,260
ADDFH,X4,CI,1551,81
ADDH,XL,A,576,47
ADDH,XL,B,423,59
ADDH,X1,A,1026,104
ADDH,X1,B,540,82
ADDH,X2,A,1844,213
ADDH,X2,B,1018,126
ADDH,X4,A,3550,415
ADDH,X4,B,1779,241
AND2,XL,A,176,21
AND2,XL,B,199,21
AND2,X1,A,200,19
AND2,X1,B,228,20
AND2,X2,A,286,32
AND2,X2,B,315,33
AND2,X4,A,503,58
AND2,X4,B,598,63
AND3,XL,A,187,26
AND3,XL,B,210,24
AND3,XL,C,241,24
AND3,X1,A,209,23
AND3,X1,B,229,22
AND3,X1,C,250,22
AND3,X2,A,319,35
AND3,X2,B,359,36
AND3,X2,C,405,37
AND3,X4,A,606,68
AND3,X4,B,688,74
AND3,X4,C,763,81
AND4,XL,A,184,25
AND4,XL,B,208,24
AND4,XL,C,242,25
AND4,XL,D,266,25
AND4,X1,A,198,23
AND4,X1,B,233,21
AND4,X1,C,253,22
AND4,X1,D,276,23
AND4,X2,A,340,37
AND4,X2,B,388,36
AND4,X2,C,433,38
AND4,X2,D,480,38
AND4,X4,A,606,68
AND4,X4,B,688,69
AND4,X4,C,803,75
AND4,X4,D,889,82
AOI21,XL,A0,142,32
AOI21,XL,A1,182,32
AOI21,XL,B0,137,32
AOI21,X1,A0,196,45
AOI21,X1,A1,238,44
AOI21,X1,B0,185,43
AOI21,X2,A0,395,94
AOI21,X2,A1,505,88
AOI21,X2,B0,368,83
AOI21,X4,A0,737,174
AOI21,X4,A1,895,174
AOI21,X4,B0,679,154
AOI211,XL,A0,225,36
AOI211,XL,A1,254,35
AOI211,XL,B0,165,34
AOI211,XL,C0,203,33
AOI211,X1,A0,317,49
AOI211,X1,A1,358,48
AOI211,X1,B0,220,47
AOI211,X1,C0,276,45
AOI211,X2,A0,629,98
AOI211,X2,A1,741,94
AOI211,X2,B0,451,89
AOI211,X2,C0,571,93
AOI211,X4,A0,751,32
AOI211,X4,A1,823,32
AOI211,X4,B0,743,33
AOI211,X4,C0,779,31
AOI22,XL,A0,155,35
AOI22,XL,A1,187,35
AOI22,XL,B0,207,33
AOI22,XL,B1,238,32
AOI22,X1,A0,204,47
AOI22,X1,A1,255,46
AOI22,X1,B0,278,44
AOI22,X1,B1,324,44
AOI22,X2,A0,406,91
AOI22,X2,A1,485,96
AOI22,X2,B0,543,88
AOI22,X2,B1,639,90
AOI22,X4,A0,815,177
AOI22,X4,A1,975,181
AOI22,X4,B0,1105,173
AOI22,X4,B1,1269,174
AOI221,XL,A0,228,36
AOI221,XL,A1,257,36
AOI221,XL,B0,291,36
AOI221,XL,B1,321,36
AOI221,XL,C0,204,35
AOI221,X1,A0,304,50
AOI221,X1,A1,350,50
AOI221,X1,B0,392,49
AOI221,X1,B1,429,48
AOI221,X1,C0,270,48
AOI221,X2,A0,577,95
AOI221,X2,A1,665,98
AOI221,X2,B0,754,96
AOI221,X2,B1,837,97
AOI221,X2,C0,510,91
AOI221,X4,A0,759,34
AOI221,X4,A1,806,32
AOI221,X4,B0,812,33
AOI221,X4,B1,854,32
AOI221,X4,C0,746,32
AOI222,XL,A0,242,37
AOI222,XL,A1,271,37
AOI222,XL,B0,303,35
AOI222,XL,B1,338,35
AOI222,XL,C0,364,35
AOI222,XL,C1,396,34
AOI222,X1,A0,324,51
AOI222,X1,A1,366,51
AOI222,X1,B0,410,50
AOI222,X1,B1,455,49
AOI222,X1,C0,490,49
AOI222,X1,C1,533,48
AOI222,X2,A0,575,100
AOI222,X2,A1,669,103
AOI222,X2,B0,758,96
AOI222,X2,B1,835,98
AOI222,X2,C0,922,96
AOI222,X2,C1,1028,97
AOI222,X4,A0,791,34
AOI222,X4,A1,814,34
AOI222,X4,B0,851,32
AOI222,X4,B1,888,31
AOI222,X4,C0,877,32
AOI222,X4,C1,918,32
AOI2BB1,XL,A0N,195,25
AOI2BB1,XL,A1N,212,22
AOI2BB1,XL,B0,132,32
AOI2BB1,X1,A0N,225,24
AOI2BB1,X1,A1N,244,24
AOI2BB1,X1,B0,175,41
AOI2BB1,X2,A0N,343,42
AOI2BB1,X2,A1N,401,43
AOI2BB1,X2,B0,332,84
AOI2BB1,X4,A0N,689,79
AOI2BB1,X4,A1N,778,79
AOI2BB1,X4,B0,664,156
AOI2BB2,XL,A0N,192,25
AOI2BB2,XL,A1N,211,23
AOI2BB2,XL,B0,154,34
AOI2BB2,XL,B1,192,33
AOI2BB2,X1,A0N,205,24
AOI2BB2,X1,A1N,225,21
AOI2BB2,X1,B0,205,46
AOI2BB2,X1,B1,249,46
AOI2BB2,X2,A0N,334,43
AOI2BB2,X2,A1N,381,41
AOI2BB2,X2,B0,413,92
AOI2BB2,X2,B1,498,98
AOI2BB2,X4,A0N,643,77
AOI2BB2,X4,A1N,736,81
AOI2BB2,X4,B0,774,171
AOI2BB2,X4,B1,934,176
AOI31,XL,A0,162,35
AOI31,XL,A1,200,35
AOI31,XL,A2,236,34
AOI31,XL,B0,179,32
AOI31,X1,A0,210,48
AOI31,X1,A1,269,48
AOI31,X1,A2,321,47
AOI31,X1,B0,247,44
AOI31,X2,A0,478,107
AOI31,X2,A1,562,99
AOI31,X2,A2,654,95
AOI31,X2,B0,497,83
AOI31,X4,A0,693,33
AOI31,X4,A1,740,32
AOI31,X4,A2,771,32
AOI31,X4,B0,704,31
AOI32,XL,A0,227,36
AOI32,XL,A1,269,36
AOI32,XL,A2,294,34
AOI32,XL,B0,199,35
AOI32,XL,B1,240,36
AOI32,X1,A0,300,48
AOI32,X1,A1,349,48
AOI32,X1,A2,393,47
AOI32,X1,B0,272,46
AOI32,X1,B1,310,47
AOI32,X2,A0,594,94
AOI32,X2,A1,686,98
AOI32,X2,A2,784,100
AOI32,X2,B0,536,92
AOI32,X2,B1,613,95
AOI32,X4,A0,754,33
AOI32,X4,A1,797,33
AOI32,X4,A2,813,32
AOI32,X4,B0,710,33
AOI32,X4,B1,771,32
AOI33,XL,A0,213,36
AOI33,XL,A1,254,36
AOI33,XL,A2,288,36
AOI33,XL,B0,284,34
AOI33,XL,B1,325,34
AOI33,XL,B2,361,34
AOI33,X1,A0,305,49
AOI33,X1,A1,353,50
AOI33,X1,A2,398,50
AOI33,X1,B0,389,48
AOI33,X1,B1,445,47
AOI33,X1,B2,494,46
AOI33,X2,A0,610,98
AOI33,X2,A1,701,103
AOI33,X2,A2,793,108
AOI33,X2,B0,784,92
AOI33,X2,B1,914,98
AOI33,X2,B2,1016,102
AOI33,X4,A0,746,33
AOI33,X4,A1,782,34
AOI33,X4,A2,833,36
AOI33,X4,B0,866,33
AOI33,X4,B1,880,33
AOI33,X4,B2,916,31
BUF,XL,A,146,21
BUF,X1,A,168,21
BUF,X2,A,283,32
BUF,X3,A,374,43
BUF,X4,A,481,56
BUF,X8,A,920,107
BUF,X12,A,1401,160
BUF,X16,A,1845,211
BUF,X20,A,2186,265
CLKBUF,XL,A,159,19
CLKBUF,X1,A,201,33
CLKBUF,X2,A,246,29
CLKBUF,X3,A,298,32
CLKBUF,X4,A,377,40
CLKBUF,X8,A,754,78
CLKBUF,X12,A,1778,189
CLKBUF,X16,A,2394,225
CLKBUF,X20,A,2860,311
CLKINV,XL,A,88,26
CLKINV,X1,A,104,31
CLKINV,X2,A,183,58
CLKINV,X3,A,264,84
CLKINV,X4,A,322,108
CLKINV,X8,A,695,228
CLKINV,X12,A,2398,69
CLKINV,X16,A,3204,87
CLKINV,X20,A,3952,107
DFF,XL,D,306,33
DFF,XL,CK,335,20
DFF,XL,Q,260,
DFF,X1,D,276,20
DFF,X1,CK,318,26
DFF,X1,Q,346,
DFF,X2,D,368,24
DFF,X2,CK,396,38
DFF,X2,Q,614,
DFF,X4,D,606,38
DFF,X4,CK,579,59
DFF,X4,Q,1091,
DFFHQ,XL,D,354,35
DFFHQ,XL,CK,346,22
DFFHQ,XL,Q,133,
DFFHQ,X1,D,355,22
DFFHQ,X1,CK,328,29
DFFHQ,X1,Q,176,
DFFHQ,X2,D,514,22
DFFHQ,X2,CK,388,36
DFFHQ,X2,Q,285,
DFFHQ,X4,D,669,31
DFFHQ,X4,CK,496,52
DFFHQ,X4,Q,422,
DFFN,XL,D,319,29
DFFN,XL,CKN,314,21
DFFN,XL,Q,370,
DFFN,X1,D,285,18
DFFN,X1,CKN,347,28
DFFN,X1,Q,420,
DFFN,X2,D,370,22
DFFN,X2,CKN,487,37
DFFN,X2,Q,695,
DFFN,X4,D,565,28
DFFN,X4,CKN,739,61
DFFN,X4,Q,1176,
DFFNR,XL,D,334,33
DFFNR,XL,CKN,360,23
DFFNR,XL,RN,164,21
DFFNR,XL,Q,445,
DFFNR,X1,D,265,20
DFFNR,X1,CKN,343,28
DFFNR,X1,RN,182,26
DFFNR,X1,Q,517,
DFFNR,X2,D,342,21
DFFNR,X2,CKN,444,30
DFFNR,X2,RN,216,33
DFFNR,X2,Q,810,
DFFNR,X4,D,414,27
DFFNR,X4,CKN,523,38
DFFNR,X4,RN,328,55
DFFNR,X4,Q,1344,
DFFNS,XL,D,315,28
DFFNS,XL,CKN,338,20
DFFNS,XL,SN,50,47
DFFNS,XL,Q,422,
DFFNS,X1,D,243,17
DFFNS,X1,CKN,324,25
DFFNS,X1,SN,59,52
DFFNS,X1,Q,501,
DFFNS,X2,D,282,17
DFFNS,X2,CKN,359,28
DFFNS,X2,SN,92,69
DFFNS,X2,Q,812,
DFFNS,X4,D,359,20
DFFNS,X4,CKN,461,33
DFFNS,X4,SN,166,117
DFFNS,X4,Q,1325,
DFFNSR,XL,D,390,31
DFFNSR,XL,CKN,344,19
DFFNSR,XL,SN,51,61
DFFNSR,XL,RN,182,22
DFFNSR,XL,Q,453,
DFFNSR,X1,D,318,19
DFFNSR,X1,CKN,342,27
DFFNSR,X1,SN,56,65
DFFNSR,X1,RN,197,25
DFFNSR,X1,Q,539,
DFFNSR,X2,D,360,18
DFFNSR,X2,CKN,392,27
DFFNSR,X2,SN,92,88
DFFNSR,X2,RN,234,35
DFFNSR,X2,Q,814,
DFFNSR,X4,D,500,30
DFFNSR,X4,CKN,551,39
DFFNSR,X4,SN,170,149
DFFNSR,X4,RN,397,57
DFFNSR,X4,Q,1465,
DFFR,XL,D,326,32
DFFR,XL,CK,365,21
DFFR,XL,RN,162,20
DFFR,XL,Q,347,
DFFR,X1,D,276,21
DFFR,X1,CK,349,28
DFFR,X1,RN,183,26
DFFR,X1,Q,403,
DFFR,X2,D,331,21
DFFR,X2,CK,395,30
DFFR,X2,RN,213,33
DFFR,X2,Q,817,
DFFR,X4,D,417,27
DFFR,X4,CK,444,38
DFFR,X4,RN,321,55
DFFR,X4,Q,1302,
DFFRHQ,XL,D,332,32
DFFRHQ,XL,CK,337,20
DFFRHQ,XL,RN,210,24
DFFRHQ,XL,Q,218,
DFFRHQ,X1,D,381,19
DFFRHQ,X1,CK,340,30
DFFRHQ,X1,RN,252,39
DFFRHQ,X1,Q,266,
DFFRHQ,X2,D,586,26
DFFRHQ,X2,CK,432,41
DFFRHQ,X2,RN,354,54
DFFRHQ,X2,Q,374,
DFFRHQ,X4,D,913,43
DFFRHQ,X4,CK,615,62
DFFRHQ,X4,RN,548,93
DFFRHQ,X4,Q,592,
DFFS,XL,D,311,32
DFFS,XL,CK,318,21
DFFS,XL,SN,53,50
DFFS,XL,Q,335,
DFFS,X1,D,242,19
DFFS,X1,CK,293,27
DFFS,X1,SN,60,54
DFFS,X1,Q,385,
DFFS,X2,D,275,19
DFFS,X2,CK,307,28
DFFS,X2,SN,102,73
DFFS,X2,Q,706,
DFFS,X4,D,340,22
DFFS,X4,CK,380,34
DFFS,X4,SN,168,121
DFFS,X4,Q,1293,
DFFSHQ,XL,D,352,33
DFFSHQ,XL,CK,333,21
