cell,variant,height,width
ADDF,XL,9,21
ADDF,X1,9,21
ADDF,X2,9,21
ADDF,X4,9,23
ADDFH,XL,9,22
ADDFH,X1,9,23
ADDFH,X2,9,34
ADDFH,X4,9,35
ADDH,XL,9,11
ADDH,X1,9,12
ADDH,X2,9,18
ADDH,X4,9,28
AND2,XL,9,4
AND2,X1,9,4
AND2,X2,9,4
AND2,X4,9,5
AND3,XL,9,5
AND3,X1,9,5
AND3,X2,9,5
AND3,X4,9,6
AND4,XL,9,6
AND4,X1,9,6
AND4,X2,9,6
AND4,X4,9,11
AOI21,XL,9,4
AOI21,X1,9,4
AOI21,X2,9,7
AOI21,X4,9,10
AOI211,XL,9,5
AOI211,X1,9,5
AOI211,X2,9,9
AOI211,X4,9,10
AOI22,XL,9,5
AOI22,X1,9,5
AOI22,X2,9,9
AOI22,X4,9,14
AOI221,XL,9,7
AOI221,X1,9,7
AOI221,X2,9,12
AOI221,X4,9,11
AOI222,XL,9,8
AOI222,X1,9,8
AOI222,X2,9,14
AOI222,X4,9,12
AOI2BB1,XL,9,5
AOI2BB1,X1,9,5
AOI2BB1,X2,9,7
AOI2BB1,X4,9,11
AOI2BB2,XL,9,7
AOI2BB2,X1,9,7
AOI2BB2,X2,9,9
AOI2BB2,X4,9,15
AOI31,XL,9,5
AOI31,X1,9,5
AOI31,X2,9,9
AOI31,X4,9,9
AOI32,XL,9,7
AOI32,X1,9,7
AOI32,X2,9,11
AOI32,X4,9,10
AOI33,XL,9,8
AOI33,X1,9,8
AOI33,X2,9,13
AOI33,X4,9,11
BUF,XL,9,4
BUF,X1,9,4
BUF,X2,9,4
BUF,X3,9,4
BUF,X4,9,5
BUF,X8,9,9
BUF,X12,9,10
BUF,X16,9,13
BUF,X20,9,16
CLKBUF,XL,9,4
CLKBUF,X1,9,4
CLKBUF,X2,9,4
CLKBUF,X3,9,4
CLKBUF,X4,9,5
CLKBUF,X8,9,7
CLKBUF,X12,9,16
CLKBUF,X16,9,19
CLKBUF,X20,9,24
CLKINV,XL,9,3
CLKINV,X1,9,3
CLKINV,X2,9,3
