cell,variant,height,width
ADDF,XL,5,13.9
ADDF,X1,5,13.9
ADDF,X2,5,13.9
ADDF,X4,5,15.2
ADDFH,XL,5.04,14.52
ADDFH,X1,5.04,15.18
ADDFH,X2,5.04,22.44
ADDFH,X4,5.04,23.10
ADDH,XL,5,7.3
ADDH,X1,5,7.9
ADDH,X2,5,11.9
ADDH,X4,5,18.5
AND2,XL,5,2.6
AND2,X1,5,2.6
AND2,X2,5,2.6
AND2,X4,5.04,3.3
AND3,XL,5,3.3
AND3,X1,5,3.3
AND3,X2,5,3.3
AND3,X4,5.04,4
AND4,XL,5,4
AND4,X1,5,4
AND4,X2,5,4
AND4,X4,5.04,7.3
AOI21,XL,5,2.6
AOI21,X1,5,2.6
AOI21,X2,5,4.6
AOI21,X4,5,6.6
AOI211,XL,5,3.3
AOI211,X1,5,3.3
AOI211,X2,5,5.9
AOI211,X4,5,6.6
AOI22,XL,5,3.3
AOI22,X1,5,3.3
AOI22,X2,5,5.9
AOI22,X4,5,9.2
AOI221,XL,5,4.6
AOI221,X1,5,4.6
AOI221,X2,5,7.9
AOI221,X4,5,7.3
AOI222,XL,5,5.3
AOI222,X1,5,5.3
AOI222,X2,5,9.2
AOI222,X4,5,7.9
AOI2BB1,XL,5,3.3
AOI2BB1,X1,5,3.3
AOI2BB1,X2,5,4.6
AOI2BB1,X4,5,7.3
AOI2BB2,XL,5,4.6
AOI2BB2,X1,5,4.6
AOI2BB2,X2,5,5.9
AOI2BB2,X4,5,9.9
AOI31,XL,5,3.3
AOI31,X1,5,3.3
AOI31,X2,5,5.9
AOI31,X4,5,5.9
AOI32,XL,5,4.6
AOI32,X1,5,4.6
AOI32,X2,5,7.3
AOI32,X4,5,6.6
AOI33,XL,5,5.3
AOI33,X1,5,5.3
AOI33,X2,5,8.6
AOI33,X4,5,7.3
BUF,XL,5,2.6
BUF,X1,5,2.6
BUF,X2,5,2.6
BUF,X3,5,2.6
BUF,X4,5,3.3
BUF,X8,5,5.9
BUF,X12,5,6.6
BUF,X16,5,8.6
BUF,X20,5,10.6
CLKBUF,XL,5,2.6
CLKBUF,X1,5,2.6
CLKBUF,X2,5,2.6
CLKBUF,X3,5,2.6
CLKBUF,X4,5,3.3
CLKBUF,X8,5,4.6
CLKBUF,X12,5,10.6
CLKBUF,X16,5,12.5
CLKBUF,X20,5,15.8
CLKINV,XL,5,2.0
CLKINV,X1,5,2.0
CLKINV,X2,5,2.0
CLKINV,X3,5,2.0
CLKINV,X4,5,2.6
CLKINV,X8,5.04,3.96
CLKINV,X12,5.04,12.54
CLKINV,X16,5.04,16.5
CLKINV,X20,5.04,19.14
DFF,XL,5,11.2
DFF,X1,5,11.2
DFF,X2,5,13.9
DFF,X4,5,16.5
DFFHQ,XL,5,10.6
DFFHQ,X1,5,10.6
DFFHQ,X2,5,13.2
DFFHQ,X4,5,14.5
DFFN,XL,5,11.2
DFFN,X1,5,11.2
DFFN,X2,5,13.9
DFFN,X4,5,15.8
DFFNR,XL,5,15.8
DFFNR,X1,5,15.2
DFFNR,X2,5,17.16
DFFNR,X4,5,20.5
DFFNS,XL,5,13.9
DFFNS,X1,5,13.9
DFFNS,X2,5,13.9
DFFNS,X4,5,19.1
DFFNSR,XL,5,17.2
DFFNSR,X1,5,16.5
DFFNSR,X2,5,17.2
DFFNSR,X4,5,23.1
DFFR,XL,5,15.2
DFFR,X1,5,15.2
DFFR,X2,5,17.16
DFFR,X4,5,19.8
DFFRHQ,XL,5,13.9
DFFRHQ,X1,5,13.9
DFFRHQ,X2,5,17.2
DFFRHQ,X4,5,21.1
DFFS,XL,5,12.5
DFFS,X1,5,12.5
DFFS,X2,5,13.9
DFFS,X4,5,18.5
DFFSHQ,XL,5,13.2
DFFSHQ,X1,5,13.2
DFFSHQ,X2,5,15.8
DFFSHQ,X4,5,18.5
DFFSR,XL,5,17.2
DFFSR,X1,5,17.2
DFFSR,X2,5,17.2
DFFSR,X4,5,23.8
DFFSRHQ,XL,5,15.8
DFFSRHQ,X1,5,15.8
DFFSRHQ,X2,5,22.4
DFFSRHQ,X4,5,30.4
DFFTR,XL,5,11.2
DFFTR,X1,5,11.2
DFFTR,X2,5,13.9
DFFTR,X4,5,16.5
DLY1,X1,5,4
DLY2,X1,5,4
DLY3,X1,5,4.6
DLY4,X1,5,4.6
EDFF,XL,5,15.2
EDFF,X1,5,15.2
EDFF,X2,5,17.8
EDFF,X4,5,20.5
EDFFTR,XL,5,16.5
EDFFTR,X1,5,16.5
EDFFTR,X2,5,17.8
EDFFTR,X4,5,21.1
HOLD,X1,5,2.6
INV,XL,5,1.3
INV,X1,5,1.3
INV,X2,5,2
INV,X3,5,2.6
INV,X4,5,2.6
INV,X8,5.04,3.96
INV,X12,5.04,8.58
INV,X16,5.04,11.22
INV,X20,5.04,12.54
JKFF,XL,5,13.9
JKFF,X1,5,13.9
JKFF,X2,5,16.5
JKFF,X4,5.04,19.8
JKFFR,XL,5,17.2
JKFFR,X1,5,18.5
JKFFR,X2,5,18.5
JKFFR,X4,5.04,23.1
JKFFS,XL,5,16.5
JKFFS,X1,5,17.2
JKFFS,X2,5,17.8
JKFFS,X4,5.04,20.46
JKFFSR,XL,5,19.8
JKFFSR,X1,5,19.8
JKFFSR,X2,5,20.5
JKFFSR,X4,5.04,21.8
MX2,XL,5,5.3
MX2,X1,5,5.3
MX2,X2,5,5.9
MX2,X4,5.04,6.6
MX4,XL,5,13.2
MX4,X1,5,13.2
MX4,X2,5.04,15.18
MX4,X4,5.04,15.84
MXI2,XL,5,4.6
MXI2,X1,5,4.6
MXI2,X2,5.04,5.28
MXI2,X4,5.04,9.24
MXI4,XL,5,15.2
MXI4,X1,5,15.2
MXI4,X2,5,15.8
MXI4,X4,5.04,16.5
NAND2,XL,5,2
NAND2,X1,5,2
NAND2,X2,5,3.3
NAND2,X4,5,4.6
NAND2B,XL,5,2.6
NAND2B,X1,5,2.6
NAND2B,X2,5,4
NAND2B,X4,5,5.3
NAND3,XL,5,2.6
NAND3,X1,5,2.6
NAND3,X2,5,4.6
NAND3,X4,5,6.6
NAND3B,XL,5,3.3
NAND3B,X1,5,3.3
NAND3B,X2,5,5.3
NAND3B,X4,5,7.3
NAND4,XL,5,3.3
NAND4,X1,5,3.3
NAND4,X2,5,5.9
NAND4,X4,5,11.2
NAND4B,XL,5,4
NAND4B,X1,5,4.6
NAND4B,X2,5,6.6
NAND4B,X4,5,11.9
NAND4BB,XL,5,5.3
NAND4BB,X1,5,5.3
NAND4BB,X2,5,7.3
NAND4BB,X4,5,12.5
NOR2,XL,5,2
NOR2,X1,5,2
NOR2,X2,5,3.3
NOR2,X4,5,4.6
NOR2B,XL,5,2.6
NOR2B,X1,5,2.6
NOR2B,X2,5,4
NOR2B,X4,5,5.3
NOR3,XL,5,2.6
NOR3,X1,5,2.6
NOR3,X2,5,4.6
NOR3,X4,5,6.6
NOR3B,XL,5,4
NOR3B,X1,5,4
NOR3B,X2,5,5.3
NOR3B,X4,5,7.3
NOR4,XL,5,4
NOR4,X1,5,4
NOR4,X2,5,5.9
NOR4,X4,5,11.2
NOR4B,XL,5,4
NOR4B,X1,5,4
NOR4B,X2,5,6.6
NOR4B,X4,5,11.9
NOR4BB,XL,5,5.3
NOR4BB,X1,5,5.3
NOR4BB,X2,5,7.3
NOR4BB,X4,5,13.2
OAI21,XL,5,2.6
OAI21,X1,5,3.3
OAI21,X2,5,5.3
OAI21,X4,5,7.3
OAI211,XL,5,4
OAI211,X1,5,4
OAI211,X2,5,6.6
OAI211,X4,5,5.9
OAI22,XL,5,4
OAI22,X1,5,4
OAI22,X2,5,5.9
OAI22,X4,5,9.2
OAI221,XL,5,4.6
OAI221,X1,5,5.3
OAI221,X2,5,8.6
OAI221,X4,5,7.3
OAI222,XL,5,5.3
OAI222,X1,5,5.9
OAI222,X2,5,9.9
OAI222,X4,5,7.9
OAI2BB1,XL,5,3.3
OAI2BB1,X1,5,3.3
OAI2BB1,X2,5,4.6
OAI2BB1,X4,5,6.6
OAI2BB2,XL,5,4.6
OAI2BB2,X1,5,4.6
OAI2BB2,X2,5,6.6
OAI2BB2,X4,5,9.9
OAI31,XL,5,4
OAI31,X1,5,4
OAI31,X2,5,5.9
OAI31,X4,5,5.9
OAI32,XL,5,4.6
OAI32,X1,5,4.6
OAI32,X2,5,7.26
OAI32,X4,5,6.6
OAI33,XL,5,5.3
OAI33,X1,5,5.3
OAI33,X2,5,8.58
OAI33,X4,5,7.3
NOR2,XL,5,2.6
NOR2,X1,5,2.6
NOR2,X2,5,2.6
NOR2,X4,5,4
NOR3,XL,5,3.3
NOR3,X1,5,4
NOR3,X2,5,4
NOR3,X4,5.04,5.94
NOR4,XL,5,4
NOR4,X1,5,4
NOR4,X2,5,4
NOR4,X4,5.04,7.26
RSLAT,XL,5,6.6
RSLAT,X1,5,6.6
RSLAT,X2,5,7.9
RSLAT,X4,5,11.9
RSLATN,XL,5,6.6
RSLATN,X1,5,7.3
RSLATN,X2,5,7.3
RSLATN,X4,5,11.9
SDFF,XL,5,13.2
SDFF,X1,5,13.9
SDFF,X2,5,16.5
SDFF,X4,5,19.1
SDFFHQ,XL,5,13.2
SDFFHQ,X1,5,13.2
SDFFHQ,X2,5,15.8
SDFFHQ,X4,5,17.2
SDFFN,XL,5,13.9
SDFFN,X1,5,13.9
SDFFN,X2,5,16.5
SDFFN,X4,5,18.5
SDFFNR,XL,5,18.5
SDFFNR,X1,5,17.8
SDFFNR,X2,5,19.8
SDFFNR,X4,5,23.1
SDFFNS,XL,5,15.8
SDFFNS,X1,5,15.8
SDFFNS,X2,5,16.5
SDFFNS,X4,5,21.8
SDFFNSR,XL,5,19.1
SDFFNSR,X1,5,19.1
SDFFNSR,X2,5,19.1
SDFFNSR,X4,5,25.1
SDFFR,XL,5,18.5
SDFFR,X1,5,18.5
SDFFR,X2,5,19.8
SDFFR,X4,5,23.1
SDFFRHQ,XL,5,16.5
SDFFRHQ,X1,5,16.5
SDFFRHQ,X2,5,19.8
SDFFRHQ,X4,5,24.4
SDFFS,XL,5,15.8
SDFFS,X1,5,15.8
SDFFS,X2,5,16.5
SDFFS,X4,5,21.1
SDFFSHQ,XL,5,15.8
SDFFSHQ,X1,5,15.8
SDFFSHQ,X2,5,18.5
SDFFSHQ,X4,5,21.1
SDFFSR,XL,5,19.1
SDFFSR,X1,5,19.8
SDFFSR,X2,5,19.1
SDFFSR,X4,5,25.7
SDFFSRHQ,XL,5,19.8
SDFFSRHQ,X1,5,19.8
SDFFSRHQ,X2,5,25.1
SDFFSRHQ,X4,5,33.7
SDFFTR,XL,5,14.5
SDFFTR,X1,5,14.5
SDFFTR,X2,5,17.2
SDFFTR,X4,5,19.8
SEDFF,XL,5,17.8
SEDFF,X1,5,17.8
SEDFF,X2,5,19.8
SEDFF,X4,5,23.1
SEDFFHQ,XL,5,20.5
SEDFFHQ,X1,5,20.5
SEDFFHQ,X2,5,22.4
SEDFFHQ,X4,5,25.1
SEDFFTR,XL,5,25.1
SEDFFTR,X1,5,25.7
SEDFFTR,X2,5,26.4
SEDFFTR,X4,5,27.7
TBUF,XL,5,4.6
TBUF,X1,5,4.6
TBUF,X2,5,4.6
TBUF,X3,5,5.3
TBUF,X4,5,5.9
TBUF,X8,5,7.9
TBUF,X12,5,9.9
TBUF,X16,5,11.2
TBUF,X20,5,15.2
TBUFI,XL,5,2.6
TBUFI,X1,5,2.6
TBUFI,X2,5,4
TBUFI,X3,5,6.6
TBUFI,X4,5,6.6
TBUFI,X8,5,8.6
TBUFI,X12,5,11.2
TBUFI,X16,5,12.5
TBUFI,X20,5,16.5
TIEHI,,5,1.3
